jpn	eng	spa	deu
今日は寒いですね。	It’s cold today.	Hace frío hoy.	Es ist kalt heute.
私は犬が好きです。	I like dogs.	Me gustan los perros.	Ich mag Hunde.
明日は雨が降るでしょう。	It will rain tomorrow.	Mañana lloverá.	Morgen wird es regnen.
彼は学校に行きました。	He went to school.	Él fue a la escuela.	Er ist zur Schule gegangen.
映画を見たいですか？	Do you want to watch a movie?	¿Quieres ver una película?	Möchtest du einen Film sehen?
この本は面白いです。	This book is interesting.	Este libro es interesante.	Dieses Buch ist interessant.
私は毎日走ります。	I run every day.	Corro todos los días.	Ich laufe jeden Tag.
猫が窓から外を見ています。	The cat is looking out the window.	El gato está mirando por la ventana.	Die Katze schaut aus dem Fenster.
彼女は上手に料理します。	She cooks well.	Ella cocina bien.	Sie kocht gut.
今日はたくさん勉強しました。	I studied a lot today.	Hoy estudié mucho.	Ich habe heute viel gelernt.
